id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
126,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
127,55 Cancri b,41,0.8306 Jupiters,5.96,1996
128,55 Cancri c,41,0.1714 Jupiters,5.96,2004
129,55 Cancri d,41,3.878 Jupiters,5.96,2002
130,55 Cancri e,41,7.99 Earths,5.96,2004
131,55 Cancri f,41,0.141 Jupiters,5.96,2007
132,61 Virginis b,28,5.1 Earths,4.735,2009
133,61 Virginis c,28,18.2 Earths,4.735,2009
134,61 Virginis d,28,22.9 Earths,4.735,2009
135,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
136,70 Virginis b,58,7.49 Jupiters,4.96808,1996
137,75 Ceti b,271,2.479 Jupiters,5.3532,2012
138,75 Ceti c,271,0.912 Jupiters,5.3532,2023
139,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
140,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
141,81 Ceti b,330,3.307 Jupiters,5.64307,2008
142,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
143,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
144,AB Aurigae b,529,9 Jupiters,7.076,2022
145,AB Pictoris b,163,13.5 Jupiters,9.13,2005
146,AF Leporis b,88,3.2 Jupiters,6.332,2023
147,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
148,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
149,AU Microscopii b,32,20.12 Earths,8.81,2020
150,51 Eridani b,97,2 Jupiters,5.21149,2015
151,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
152,55 Cancri b,41,0.8306 Jupiters,5.96,1996
153,55 Cancri c,41,0.1714 Jupiters,5.96,2004
154,55 Cancri d,41,3.878 Jupiters,5.96,2002
155,55 Cancri e,41,7.99 Earths,5.96,2004
156,55 Cancri f,41,0.141 Jupiters,5.96,2007
157,61 Virginis b,28,5.1 Earths,4.735,2009
158,61 Virginis c,28,18.2 Earths,4.735,2009
159,61 Virginis d,28,22.9 Earths,4.735,2009
160,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
161,70 Virginis b,58,7.49 Jupiters,4.96808,1996
162,75 Ceti b,271,2.479 Jupiters,5.3532,2012
163,75 Ceti c,271,0.912 Jupiters,5.3532,2023
164,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
165,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
166,81 Ceti b,330,3.307 Jupiters,5.64307,2008
167,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
168,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
169,AB Aurigae b,529,9 Jupiters,7.076,2022
170,AB Pictoris b,163,13.5 Jupiters,9.13,2005
171,AF Leporis b,88,3.2 Jupiters,6.332,2023
172,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
173,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
174,AU Microscopii b,32,20.12 Earths,8.81,2020
175,51 Eridani b,97,2 Jupiters,5.21149,2015
176,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
177,55 Cancri b,41,0.8306 Jupiters,5.96,1996
178,55 Cancri c,41,0.1714 Jupiters,5.96,2004
179,55 Cancri d,41,3.878 Jupiters,5.96,2002
180,55 Cancri e,41,7.99 Earths,5.96,2004
181,55 Cancri f,41,0.141 Jupiters,5.96,2007
182,61 Virginis b,28,5.1 Earths,4.735,2009
183,61 Virginis c,28,18.2 Earths,4.735,2009
184,61 Virginis d,28,22.9 Earths,4.735,2009
185,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
186,70 Virginis b,58,7.49 Jupiters,4.96808,1996
187,75 Ceti b,271,2.479 Jupiters,5.3532,2012
188,75 Ceti c,271,0.912 Jupiters,5.3532,2023
189,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
190,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
191,81 Ceti b,330,3.307 Jupiters,5.64307,2008
192,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
193,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
194,AB Aurigae b,529,9 Jupiters,7.076,2022
195,AB Pictoris b,163,13.5 Jupiters,9.13,2005
196,AF Leporis b,88,3.2 Jupiters,6.332,2023
197,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
198,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
199,AU Microscopii b,32,20.12 Earths,8.81,2020
200,51 Eridani b,97,2 Jupiters,5.21149,2015
201,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
202,55 Cancri b,41,0.8306 Jupiters,5.96,1996
203,55 Cancri c,41,0.1714 Jupiters,5.96,2004
204,55 Cancri d,41,3.878 Jupiters,5.96,2002
205,55 Cancri e,41,7.99 Earths,5.96,2004
206,55 Cancri f,41,0.141 Jupiters,5.96,2007
207,61 Virginis b,28,5.1 Earths,4.735,2009
208,61 Virginis c,28,18.2 Earths,4.735,2009
209,61 Virginis d,28,22.9 Earths,4.735,2009
210,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
211,70 Virginis b,58,7.49 Jupiters,4.96808,1996
212,75 Ceti b,271,2.479 Jupiters,5.3532,2012
213,75 Ceti c,271,0.912 Jupiters,5.3532,2023
214,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
215,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
216,81 Ceti b,330,3.307 Jupiters,5.64307,2008
217,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
218,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
219,AB Aurigae b,529,9 Jupiters,7.076,2022
220,AB Pictoris b,163,13.5 Jupiters,9.13,2005
221,AF Leporis b,88,3.2 Jupiters,6.332,2023
222,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
223,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
224,AU Microscopii b,32,20.12 Earths,8.81,2020
225,AU Microscopii c,32,9.6 Earths,8.81,2021
226,AU Microscopii d,32,1.053 Earths,8.81,2023
227,b Centauri AB b,320,10.9 Jupiters,4.01,2021
228,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
229,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
230,BD-06 1339 b,66,8.5 Earths,9.7,2013
231,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
232,BD-08 2823 b,135,12.7132 Earths,9.86,2009
233,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
234,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
235,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
236,BD-11 4672 c,89,15.37 Earths,10.03,2020
237,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
238,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
239,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
240,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
241,BD-17 63 b,112,5.1 Jupiters,9.62,2008
242,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
243,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
244,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
245,BD+20 594 b,585,22.2481 Earths,10.849,2016
246,BD-210397 b,77,0.7 Jupiters,9.84,2023
247,BD-210397 c,77,4.8 Jupiters,9.84,2023
248,BD+45 564 b,175,1.36 Jupiters,9.67,2021
249,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
